"global_id";"Route code";"Agency code";"Number of the route";"Full name route";"Type of route";"Route description";"Union route";
"global_id";"Код маршрута";"Код транспортного предприятия";"Номер маршрута";"Полное наименование маршрута";"Вид транспорта";"Описание маршрута";"Совместный маршрут";
"1125957623";"141500232";"61";"466";"МЦД Бескудниково - Савёловский вокзал";"3";"";"";
"1125957665";"141500273";"601";"667";"Метро «Озёрная» - Метро «Озёрная»";"3";"";"";
"1125957703";"141500251";"601";"553";"Метро «Ленинский проспект» - Мега - Оби";"3";"";"";
"1125957730";"141500222";"61";"429";"Метро «Кузьминки» - Метро «Нижегородская»";"3";"";"";
"1125957732";"141500204";"601";"343";"МЦД Переделкино - МЦД Переделкино";"3";"";"";
"1133556333";"141500166";"61";"83";"МЦД Перово - МЦД Перово";"3";"";"";
"1133556340";"141500158";"61";"26";"Метро «Сокол» - Метро «Сокол»";"3";"";"";
"1133556390";"141500188";"61";"270";"Лобненская улица - Метро «Речной вокзал»";"3";"";"";
"1133556393";"141500300";"61";"314";"Метро «Выхино» - МЦД Перово";"3";"";"";
"1133556536";"141500181";"61";"215";"МЦД Грачёвская - Метро «Петровско-Разумовская»";"3";"";"";
"1133556541";"141500206";"61";"352";"МЦД Долгопрудная - МЦД Долгопрудная";"3";"";"";
"1133556588";"141500189";"61";"282";"Метро «Войковская» - Ул. Корнейчука";"3";"";"";
"1133556688";"141500320";"61";"115";"138-й квартал Выхина - 138-й кв. Выхина";"3";"";"";
"1133556689";"141500180";"61";"206";"Лобненская улица - Метро «Селигерская»";"3";"";"";
"1133556690";"141500185";"601";"250";"5-й мкр. Теплого Стана - 5-й микрорайон Тёплого Стана";"3";"";"";
"1137249835";"141500221";"101";"428";"ВДНХ (главный вход) - ВДНХ (главный вход)";"3";"";"";
"1137249839";"141500265";"101";"618";"Осташковская улица - Осташковская улица";"3";"";"";
"1137249867";"141500261";"101";"601";"Абрамцевская ул. - Станция Лосиноостровская";"3";"";"";
"1137249874";"141500284";"101";"771";"Абрамцевская ул. - Абрамцевская улица";"3";"";"";
"1137250083";"141500162";"101";"56";"ВДНХ (главный вход) - Платф. Яуза";"3";"";"";
"1137250120";"141500263";"101";"606";"Улица Корнейчука - Осташковская улица";"3";"";"";
"1137250126";"141500274";"61";"673";"МЦД Грачёвская - Метро «Речной вокзал»";"3";"";"";
"1263345426";"141500134";"601";"с894";"Метро «Орехово» - Гурьевский проезд";"3";"";"";
"1263345743";"141500620";"61";"с799";"Волгоградский проспект (МКАД) - Даниловский рынок";"3";"";"";
"2617546826";"141500388";"101";"с15";"Платформа Лось - Малыгинский пр.";"3";"";"";
"2617546978";"141500384";"601";"с14";"Проезд Карамзина - Проезд Карамзина";"3";"";"";
"2617547114";"141500382";"601";"с17";"Улица Новаторов - МЦД Очаково";"3";"";"";
"2620601695";"141500389";"61";"746";"МЦД Долгопрудная - 9-я Северная линия";"3";"";"";
"2641377270";"2270";"1";"967";"Мега - Оби - Метро «Новомосковская»";"3";"";"";
"2641377417";"3130";"1";"147";"ЖК «Юго-Западный» - Метро «Филатов Луг»";"3";"";"";
"2641377577";"141500408";"103";"785к";"Тропарёво - Тропарево";"3";"";"";
"2655033858";"3131";"1";"523к";"Коктебельская улица - МЦД Бутово";"3";"";"";
"2679469038";"3208";"1";"125";"Улица Молостовых - Красноказарменная площадь";"3";"";"";
"2679469045";"3185";"1";"500";"Метро «Водный стадион» - Прибрежный проезд";"3";"";"";
"2679469048";"3210";"1";"265";"Метро «Бульвар Рокоссовского» - Метро «Рижская»";"3";"";"";
"2679469104";"3194";"1";"594";"Метро «Водный стадион» - Метро «Ховрино»";"3";"";"";
"2679469120";"3192";"1";"445";"Районный центр «Нева» - Метро «Речной вокзал»";"3";"";"";
"2679469164";"3230";"1";"801";"Районный центр «Нева» - Районный центр «Нева»";"3";"";"";
"2679469190";"3200";"1";"366";"Улица Герасима Курина - Улица Герасима Курина";"3";"";"";
"2679469299";"3231";"1";"СК1";"Метро «Давыдково» - Улица Генерала Дорохова";"3";"";"";
"2679469306";"3203";"1";"471";"Ветеринарная академия - Ветеринарная академия";"3";"";"";
"2679469346";"141500421";"101";"713";"Метро «Марьино» - Метро «Кузьминки»";"3";"";"";
"2679469360";"3232";"1";"СК2";"Метро «Славянский бульвар» - Улица Генерала Дорохова";"3";"";"";
"2679469390";"3189";"1";"617";"МЦД Перово - Ивановское";"3";"";"";
"2679469402";"3204";"1";"201";"Ставропольский проезд - МЦД Люблино";"3";"";"";
"2679469431";"141500420";"601";"769";"Проезд Карамзина - Проезд Карамзина";"3";"";"";
"2679469438";"3202";"1";"853";"Метро «Братиславская» - Метро «Братиславская»";"3";"";"";
"2679469471";"3181";"1";"361";"Метро «Беляево» - Метро «Юго-Западная»";"3";"";"";
"2679469497";"3196";"1";"290";"Улица Корнейчука - Метро «Бибирево»";"3";"";"";
"2682976662";"3219";"1";"551";"Ставропольский проезд - Метро «Выхино»";"3";"";"";
"2682976691";"3216";"1";"957";"Метро «Марьино» - Метро «Марьино» (южный вход)";"3";"";"";
"2682976788";"3212";"1";"с9";"Капотня - Капотня";"3";"";"";
"2682976831";"3215";"1";"340";"Метро «Римская» - Метро «Римская»";"3";"";"";
"2682976839";"3220";"1";"530";"Метро «Братиславская» - Метро «Братиславская»";"3";"";"";
"2682976853";"3217";"1";"708";"Ставропольский проезд - Южные Ворота";"3";"";"";
"2682976854";"3213";"1";"409";"Метро «Выхино» - МЦД Новогиреево";"3";"";"";
"2706629424";"141500426";"101";"с797";"Чагинская улица - Братеевская пойма";"3";"";"";
"2706629469";"141500445";"103";"580";"МЦД Вешняки - МЦД Вешняки";"3";"";"";
"2706629498";"141500429";"101";"619";"МЦД Перово - Метро «Черкизовская»";"3";"";"";
"2707884298";"141500437";"101";"291";"Метро «Сокол» - Метро «Сокол»";"3";"";"";
"2707884326";"141500439";"101";"815";"Улица Корнейчука - Ул. Корнейчука";"3";"";"";
"2707884362";"141500140";"101";"994";"Абрамцевская ул. - Абрамцевская улица";"3";"";"";
"2707884404";"141500444";"103";"с122";"Первомайское - Сосенское";"3";"";"";
"2707884409";"141500434";"101";"128";"Метро «Филатов Луг» - ЖК «Андерсен»";"3";"";"";
"2707884522";"141500446";"103";"551к";"ул. Чугунные ворота - ул. Чугунные ворота";"3";"";"";
"2707884574";"3321";"1";"899";"Метро «Красногвардейская» - Метро «Коломенская»";"3";"";"";
