"global_id";"Stop times code";"Trip code";"Arrival time";"Departure time";"Stop code";"Distance from the beginning of the route";"Type landing";"Destination is displayed";"Number stop";"Type of trip";"Interval on the route";
"global_id";"Код расписания";"Код рейса";"Время прибытия";"Время отправления";"Код остановки";"Расстояние от начала маршрута, км";"Тип посадки";"Пункт назначения рейса, отображающийся на информационном табло";"Номер остановки по пути следования";"Тип рейса";"Интервал на маршруте";
"2840145573";"";"3736_3173780_2_201";"06:02:00";"06:02:00";"1001795";"";"";"";"16";"";"";
"2840152363";"";"3736_3173780_2_201";"05:56:00";"05:56:00";"16608";"";"";"";"12";"";"";
"2840152411";"";"3736_3173780_2_201";"05:44:00";"05:44:00";"22631";"";"";"";"3";"";"";
"2840152432";"";"3736_3173780_2_201";"05:43:00";"05:43:00";"22632";"";"";"";"2";"";"";
"2840152697";"";"3736_3173780_2_201";"05:41:00";"05:41:00";"22101";"";"";"";"1";"";"";
"2840152755";"";"3736_3173780_2_201";"05:55:00";"05:55:00";"16606";"";"";"";"11";"";"";
"2840152884";"";"3736_3173780_2_201";"05:53:00";"05:53:00";"10559";"";"";"";"10";"";"";
"2840153133";"";"3736_3173780_2_201";"05:50:00";"05:50:00";"6289";"";"";"";"7";"";"";
"2840153201";"";"3736_3173780_2_201";"05:49:00";"05:49:00";"1000594";"";"";"";"6";"";"";
"2840153315";"";"3736_3173780_2_201";"05:52:00";"05:52:00";"6598";"";"";"";"9";"";"";
"2840153447";"";"3736_3173780_2_201";"05:51:00";"05:51:00";"6290";"";"";"";"8";"";"";
"2840153507";"";"3736_3173780_2_201";"05:47:00";"05:47:00";"22626";"";"";"";"5";"";"";
"2840153551";"";"3736_3173780_2_201";"06:01:00";"06:01:00";"16612";"";"";"";"15";"";"";
"2840153767";"";"3736_3173780_2_201";"05:46:00";"05:46:00";"22629";"";"";"";"4";"";"";
"2840153844";"";"3736_3173780_2_201";"05:59:00";"05:59:00";"16611";"";"";"";"14";"";"";
"2840153882";"";"3736_3173780_2_201";"05:58:00";"05:58:00";"16609";"";"";"";"13";"";"";
"2841152277";"";"3736_3173780_9_204";"09:24:00";"09:24:00";"21549";"";"";"";"6";"";"";
"2841152818";"";"3736_3173780_9_204";"09:28:00";"09:28:00";"6295";"";"";"";"10";"";"";
"2841153275";"";"3736_3173780_9_204";"09:27:00";"09:27:00";"1000596";"";"";"";"9";"";"";
"2841153717";"";"3736_3173780_9_204";"09:39:00";"09:39:00";"22101";"";"";"";"16";"";"";
"2841154282";"";"3736_3173780_9_204";"09:36:00";"09:36:00";"22633";"";"";"";"15";"";"";
"2841154759";"";"3736_3173780_9_204";"09:34:00";"09:34:00";"22630";"";"";"";"14";"";"";
"2841154798";"";"3736_3173780_9_204";"09:22:00";"09:22:00";"16607";"";"";"";"5";"";"";
"2841155275";"";"3736_3173780_9_204";"09:32:00";"09:32:00";"22627";"";"";"";"12";"";"";
"2841156275";"";"3736_3173780_9_204";"09:29:00";"09:29:00";"22621";"";"";"";"11";"";"";
"2841156330";"";"3736_3173780_9_204";"09:19:00";"09:19:00";"1002779";"";"";"";"3";"";"";
"2841156934";"";"3736_3173780_9_204";"09:17:00";"09:17:00";"16614";"";"";"";"2";"";"";
"2841157499";"";"3736_3173780_9_204";"09:16:00";"09:16:00";"1001795";"";"";"";"1";"";"";
"2841157505";"";"3736_3173780_9_204";"09:20:00";"09:20:00";"16610";"";"";"";"4";"";"";
"2841158036";"";"3736_3173780_9_204";"09:33:00";"09:33:00";"22628";"";"";"";"13";"";"";
"2841159160";"";"3736_3173780_9_204";"09:26:00";"09:26:00";"6294";"";"";"";"8";"";"";
"2841159566";"";"3736_3173780_9_204";"09:25:00";"09:25:00";"10560";"";"";"";"7";"";"";
"5076946349";"";"4443_100031456_17_9";"23:49:00";"23:49:00";"693";"";"";"";"4";"";"";
"5076946453";"";"4443_100031456_17_9";"24:24:00";"24:24:00";"857";"";"";"";"28";"";"";
"5076946485";"";"4443_100031456_17_9";"24:07:00";"24:07:00";"460";"";"";"";"19";"";"";
"5076946487";"";"4443_100031456_17_9";"24:12:00";"24:12:00";"854";"";"";"";"23";"";"";
"5076946598";"";"4443_100031456_17_9";"24:19:00";"24:19:00";"1406";"";"";"";"25";"";"";
"5076946677";"";"4443_100031456_17_9";"24:01:00";"24:01:00";"774";"";"";"";"15";"";"";
"5076946709";"";"4443_100031456_17_9";"23:53:00";"23:53:00";"697";"";"";"";"8";"";"";
"5076946728";"";"4443_100031456_17_9";"24:11:00";"24:11:00";"13637";"";"";"";"22";"";"";
"5076946732";"";"4443_100031456_17_9";"24:10:00";"24:10:00";"853";"";"";"";"21";"";"";
"5076946742";"";"4443_100031456_17_9";"23:57:00";"23:57:00";"738";"";"";"";"12";"";"";
"5076946768";"";"4443_100031456_17_9";"24:14:00";"24:14:00";"15355";"";"";"";"24";"";"";
"5076946777";"";"4443_100031456_17_9";"24:08:00";"24:08:00";"1037";"";"";"";"20";"";"";
"5076946785";"";"4443_100031456_17_9";"23:55:00";"23:55:00";"699";"";"";"";"10";"";"";
"5076946791";"";"4443_100031456_17_9";"24:20:00";"24:20:00";"1405";"";"";"";"26";"";"";
"5076946805";"";"4443_100031456_17_9";"23:50:00";"23:50:00";"694";"";"";"";"5";"";"";
"5076946813";"";"4443_100031456_17_9";"24:04:00";"24:04:00";"18071";"";"";"";"18";"";"";
"5076946828";"";"4443_100031456_17_9";"24:22:00";"24:22:00";"849";"";"";"";"27";"";"";
"5076946872";"";"4443_100031456_17_9";"23:47:00";"23:47:00";"728";"";"";"";"2";"";"";
