"global_id";"Stop code";"Stop name";"Station Name";"Street";"Direction";"Pavilion";"Operating organization name";"Pavilion electrification";"Transport type";"Geodata";"Centroid";
"global_id";"Код остановки";"Наименование остановки";"Название остановки согласно указателю";"Наименование улицы, на которой находится остановка";"Направление";"Наличие павильона";"Балансодержатель остановки с павильоном";"Электроподключение остановочного павильона";"Вид транспорта";"Геоданные";"Центроид";
"5089310222";"22093";"Зимёнковская улица";"";"";"";"да";"ГУП Мосгортранс";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.406062, 55.566212]]]";"{type=Point, coordinates=[37.406062, 55.566212]}";
"5089310230";"22091";"Зимёнковская улица";"";"";"";"да";"ГУП Мосгортранс";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.407256, 55.565745]]]";"{type=Point, coordinates=[37.407256, 55.565745]}";
"5089310243";"22893";"ОВД Ростокино";"";"";"";"да";"ГУП Мосгортранс";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.66515, 55.836792]]]";"{type=Point, coordinates=[37.66515, 55.836792]}";
"5089310251";"1003154";"Столбово";"";"";"";"да";"ГУП Мосгортранс";"Подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.471832, 55.558881]]]";"{type=Point, coordinates=[37.471832, 55.558881]}";
"5089310260";"1010450";"МЦД Зеленоград-Крюково";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.17442, 55.978344]]]";"{type=Point, coordinates=[37.17442, 55.978344]}";
"5089310268";"1002949";"Улица Адмирала Угрюмова";"";"";"";"да";"ГУП Мосгортранс";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.410774, 55.543927]]]";"{type=Point, coordinates=[37.410774, 55.543927]}";
"5089310293";"1009327";"Люблинский отдел ЗАГС";"";"";"";"да";"ГУП Мосгортранс";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.750237, 55.70215]]]";"{type=Point, coordinates=[37.750237, 55.70215]}";
"5089310294";"22305";"Базовская улица";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.517387, 55.882153]]]";"{type=Point, coordinates=[37.517387, 55.882153]}";
"5089310323";"21903";"Метро «Потапово»";"";"";"";"да";"ГУП Мосгортранс";"Подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.496102, 55.551565]]]";"{type=Point, coordinates=[37.496102, 55.551565]}";
"5089310324";"7234";"МЦД Москворечье";"";"";"";"да";"ГУП Мосгортранс";"Подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.689518, 55.639372]]]";"{type=Point, coordinates=[37.689518, 55.639372]}";
"5089310436";"1001920";"Метро «Лубянка»";"";"";"";"да";"ГУП Мосгортранс";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.626115, 55.760126]]]";"{type=Point, coordinates=[37.626115, 55.760126]}";
"5089310470";"22619";"Заводская улица";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.180492, 55.974285]]]";"{type=Point, coordinates=[37.180492, 55.974285]}";
"5095667618";"21226";"Проектируемый проезд 1190";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.516365, 55.696228]]]";"{type=Point, coordinates=[37.516365, 55.696228]}";
"5107796959";"1000443";"2-я Рейсовая улица";"";"";"";"да";"ГУП Мосгортранс";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.29866752, 55.60852864]]]";"{type=Point, coordinates=[37.29866752, 55.60852864]}";
"5107796960";"1000609";"Привольная ул., 27";"";"";"";"да";"ГУП Мосгортранс";"Подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.84945397, 55.6948109]]]";"{type=Point, coordinates=[37.84945397, 55.6948109]}";
"5107796961";"1000613";"Кинотеатр «Тула»";"";"";"";"да";"ГУП Мосгортранс";"Подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.71732914, 55.68631695]]]";"{type=Point, coordinates=[37.71732914, 55.68631695]}";
"5107796962";"1000257";"Извилистый проезд";"";"";"";"да";"ГУП Мосгортранс";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.66977687, 55.88014853]]]";"{type=Point, coordinates=[37.66977687, 55.88014853]}";
"5107796963";"1000610";"Привольная улица, 27";"";"";"";"да";"ГУП Мосгортранс";"Подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.84972962, 55.69400191]]]";"{type=Point, coordinates=[37.84972962, 55.69400191]}";
"5107796964";"1000456";"Колледж информационных технологий";"";"";"";"да";"ГУП Мосгортранс";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.64778247, 55.66681203]]]";"{type=Point, coordinates=[37.64778247, 55.66681203]}";
"5107796965";"1000681";"Улица Берёзки";"";"";"";"да";"ГУП Мосгортранс";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.07266771, 55.21653049]]]";"{type=Point, coordinates=[37.07266771, 55.21653049]}";
"5107796966";"1000665";"Мещерский лес";"";"";"";"да";"ГУП Мосгортранс";"Подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.42626956, 55.66140458]]]";"{type=Point, coordinates=[37.42626956, 55.66140458]}";
