"global_id";"Route code";"Code list of dates";"Trip code";"Destination is displayed";"Direction of trip";"Code bunch";"volume_id";"Type of trip";
"global_id";"Код маршрута";"Код перечня дат";"Код рейса";"Пункт назначения рейса, отображающийся на информационном табло";"Направление движения рейса";"Код связки рейсов";"Вместимость транспортного средства";"Тип рейса";
"2700133526";"3231";"3150881";"3231_3150881_27_804";"";"0";"";"";"";
"2700133527";"3231";"3150881";"3231_3150881_29_804";"";"0";"";"";"";
"2700133528";"3231";"3150881";"3231_3150881_21_805";"";"0";"";"";"";
"2700133529";"3231";"3150881";"3231_3150881_31_805";"";"0";"";"";"";
"2700133530";"3231";"3150881";"3231_3150881_27_803";"";"0";"";"";"";
"2700133531";"3231";"3150881";"3231_3150881_37_805";"";"0";"";"";"";
"2700133532";"3231";"3150881";"3231_3150881_29_805";"";"0";"";"";"";
"2700133533";"3231";"3150881";"3231_3150881_33_805";"";"0";"";"";"";
"2700133534";"3231";"3150881";"3231_3150881_27_805";"";"0";"";"";"";
"2700133535";"3231";"3150890";"3231_3150890_15_807";"";"0";"";"";"";
"2700133536";"3231";"3150890";"3231_3150890_13_807";"";"0";"";"";"";
"2700133537";"3231";"3150890";"3231_3150890_9_807";"";"0";"";"";"";
"2700133538";"3231";"3150890";"3231_3150890_23_807";"";"0";"";"";"";
"2700133539";"3231";"3150890";"3231_3150890_5_807";"";"0";"";"";"";
"2700133540";"3231";"3150890";"3231_3150890_7_807";"";"0";"";"";"";
"2700133541";"3231";"3150890";"3231_3150890_3_807";"";"0";"";"";"";
"2700133542";"3231";"3150890";"3231_3150890_21_801";"";"0";"";"";"";
"2700133543";"3231";"3150890";"3231_3150890_11_807";"";"0";"";"";"";
"2700133544";"3231";"3150890";"3231_3150890_1_807";"";"0";"";"";"";
"2700133545";"3231";"3150881";"3231_3150881_35_805";"";"0";"";"";"";
"2700133546";"3231";"3150890";"3231_3150890_11_804";"";"0";"";"";"";
"2700133547";"3231";"3150890";"3231_3150890_9_804";"";"0";"";"";"";
"2700133548";"3231";"3150890";"3231_3150890_5_804";"";"0";"";"";"";
"2700133549";"3231";"3150890";"3231_3150890_13_804";"";"0";"";"";"";
"2700133550";"3231";"3150890";"3231_3150890_3_804";"";"0";"";"";"";
"2700133551";"3231";"3150890";"3231_3150890_1_804";"";"0";"";"";"";
"2700133552";"3231";"3150890";"3231_3150890_17_804";"";"0";"";"";"";
"2700133553";"3231";"3150890";"3231_3150890_7_804";"";"0";"";"";"";
"2700133554";"3231";"3150881";"3231_3150881_21_801";"";"0";"";"";"";
"2700133555";"3231";"3150890";"3231_3150890_15_804";"";"0";"";"";"";
"2700133556";"3231";"3150881";"3231_3150881_21_804";"";"0";"";"";"";
"2700133557";"3231";"3150890";"3231_3150890_7_801";"";"0";"";"";"";
"2700133558";"3231";"3150890";"3231_3150890_15_801";"";"0";"";"";"";
"2700133559";"3231";"3150890";"3231_3150890_3_801";"";"0";"";"";"";
"2700133560";"3231";"3150881";"3231_3150881_1_804";"";"0";"";"";"";
"2700133561";"3231";"3150890";"3231_3150890_9_801";"";"0";"";"";"";
"2700133562";"3231";"3150890";"3231_3150890_13_801";"";"0";"";"";"";
"2700133563";"3231";"3150890";"3231_3150890_21_807";"";"0";"";"";"";
"2700133564";"3231";"3150890";"3231_3150890_17_801";"";"0";"";"";"";
"2700133565";"3231";"3150890";"3231_3150890_1_801";"";"0";"";"";"";
"2700133566";"3231";"3150890";"3231_3150890_5_801";"";"0";"";"";"";
"2700133567";"3231";"3150881";"3231_3150881_3_804";"";"0";"";"";"";
"2700133568";"3231";"3150890";"3231_3150890_11_801";"";"0";"";"";"";
"2700133569";"3231";"3150881";"3231_3150881_31_804";"";"0";"";"";"";
"2700133570";"3231";"3150881";"3231_3150881_33_802";"";"0";"";"";"";
"2700133571";"3231";"3150881";"3231_3150881_15_803";"";"0";"";"";"";
"2700133572";"3231";"3150881";"3231_3150881_3_807";"";"0";"";"";"";
"2700133573";"3231";"3150881";"3231_3150881_7_807";"";"0";"";"";"";
"2700133574";"3231";"3150881";"3231_3150881_5_807";"";"0";"";"";"";
"2700133575";"3231";"3150881";"3231_3150881_9_807";"";"0";"";"";"";
"2700133576";"3231";"3150881";"3231_3150881_13_807";"";"0";"";"";"";
"2700133577";"3231";"3150881";"3231_3150881_9_802";"";"0";"";"";"";
"2700133578";"3231";"3150881";"3231_3150881_15_802";"";"0";"";"";"";
"2700133579";"3231";"3150881";"3231_3150881_3_802";"";"0";"";"";"";
"2700133580";"3231";"3150881";"3231_3150881_7_802";"";"0";"";"";"";
"2700133581";"3231";"3150881";"3231_3150881_5_802";"";"0";"";"";"";
"2700133582";"3231";"3150881";"3231_3150881_11_802";"";"0";"";"";"";
"2700133583";"3231";"3150881";"3231_3150881_1_802";"";"0";"";"";"";
"2700133584";"3231";"3150881";"3231_3150881_21_802";"";"0";"";"";"";
"2700133585";"3231";"3150881";"3231_3150881_9_805";"";"0";"";"";"";
"2700133586";"3231";"3150881";"3231_3150881_13_802";"";"0";"";"";"";
"2700133587";"3231";"3150881";"3231_3150881_13_805";"";"0";"";"";"";
"2700133588";"3231";"3150881";"3231_3150881_5_805";"";"0";"";"";"";
"2700133589";"3231";"3150881";"3231_3150881_7_805";"";"0";"";"";"";
"2700133590";"3231";"3150881";"3231_3150881_11_805";"";"0";"";"";"";
"2700133591";"3231";"3150881";"3231_3150881_3_805";"";"0";"";"";"";
"2700133766";"3231";"3150881";"3231_3150881_1_805";"";"0";"";"";"";
"2700133767";"3231";"3150881";"3231_3150881_11_801";"";"0";"";"";"";
"2700133768";"3231";"3150881";"3231_3150881_5_801";"";"0";"";"";"";
"2700133769";"3231";"3150881";"3231_3150881_1_801";"";"0";"";"";"";
"2700133770";"3231";"3150881";"3231_3150881_13_801";"";"0";"";"";"";
"2700133771";"3231";"3150890";"3231_3150890_21_804";"";"0";"";"";"";
"2700133772";"3231";"3150890";"3231_3150890_33_804";"";"0";"";"";"";
"2700133773";"3231";"3150890";"3231_3150890_25_804";"";"0";"";"";"";
"2700133774";"3231";"3150890";"3231_3150890_27_804";"";"0";"";"";"";
"2700133775";"3231";"3150890";"3231_3150890_29_804";"";"0";"";"";"";
"2700133776";"3231";"3150890";"3231_3150890_31_801";"";"0";"";"";"";
"2700133777";"3231";"3150890";"3231_3150890_29_801";"";"0";"";"";"";
"2700133778";"3231";"3150890";"3231_3150890_33_801";"";"0";"";"";"";
"2700133779";"3231";"3150890";"3231_3150890_25_801";"";"0";"";"";"";
"2700133780";"3231";"3150881";"3231_3150881_21_806";"";"0";"";"";"";
